name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,composite_score
"Congressional District 1 (116th Congress), Alabama",0.2194279960757356,0.9997862580979306,0.25117739403453687,1.0,0.21767358649997987,0.8281099749782255,Alabama,01,0.5860292016144014
"Congressional District 2 (116th Congress), Alabama",0.20855425750128548,0.9997825843199559,0.22135007849293564,1.0,0.20352636026259668,0.8273044450150282,Alabama,02,0.5767529542653004
"Congressional District 3 (116th Congress), Alabama",0.21912851597319363,0.9997829786887753,0.21507064364207218,1.0,0.21681281164785302,0.8222900209941246,Alabama,03,0.5788474951576698
"Congressional District 4 (116th Congress), Alabama",0.21121486944817644,0.9997788055768962,0.13500784929356358,1.0,0.21090438620655502,0.8521701480664764,Alabama,04,0.5681793430986113
"Congressional District 5 (116th Congress), Alabama",0.22373897375694257,0.9997990308492729,0.37205651491365777,1.0,0.2218394148835741,0.8486912655379178,Alabama,05,0.6110208666568943
"Congressional District 6 (116th Congress), Alabama",0.21749688694272898,0.9998114692118444,0.4364207221350078,1.0,0.21672366991559391,0.8909262084208088,Alabama,06,0.6268964927709973
"Congressional District 7 (116th Congress), Alabama",0.20342500803220995,0.9997645528178556,0.19152276295133436,1.0,0.20237185102187996,0.756251667698752,Alabama,07,0.5588893070870053
"Congressional District 1 (116th Congress), California",0.2163880426656248,0.999798072667997,0.24646781789638933,1.0,0.21289150398816395,0.8266902284180901,California,01,0.5837059442727108
"Congressional District 2 (116th Congress), California",0.21936410698719333,0.9998570180607258,0.5180533751962323,1.0,0.2178527985242091,0.8704909201669461,California,02,0.6376030364892178
"Congressional District 3 (116th Congress), California",0.22943769615946719,0.9998228984100987,0.26844583987441134,1.0,0.22514261129561935,0.8874825678281402,California,03,0.601721935594623
"Congressional District 4 (116th Congress), California",0.2304983164610851,0.9998372666307328,0.40345368916797486,1.0,0.22905308575867972,0.8842503788508108,California,04,0.6245154561448806
"Congressional District 5 (116th Congress), California",0.22268541811415385,0.9998441958258435,0.3736263736263735,1.0,0.22254635834357328,0.8958550448831226,California,05,0.6190928984655112
"Congressional District 6 (116th Congress), California",0.23472298244094408,0.9998110268589862,0.3218210361067504,1.0,0.23498255855342778,0.8303654588751781,California,06,0.6036171771392144
"Congressional District 7 (116th Congress), California",0.23413507996272317,0.9998370686965725,0.3830455259026687,1.0,0.23352843404595133,0.891510217644127,California,07,0.6236760543753405
"Congressional District 8 (116th Congress), California",0.22404152545027986,0.9997889766936319,0.11930926216640503,1.0,0.2194691114612125,0.8625967265276121,California,08,0.5708676003831902
"Congressional District 10 (116th Congress), California",0.23258484808833405,0.999814022862412,0.13657770800627944,1.0,0.23248628053026948,0.8868280747330424,California,10,0.5813818223700562
"Congressional District 11 (116th Congress), California",0.23352813362157143,0.9998834122810975,0.5651491365777079,1.0,0.23405926068075808,0.9077617846516335,California,11,0.6567302879687947
"Congressional District 13 (116th Congress), California",0.23369184941096105,0.9998963079915393,0.6499215070643641,1.0,0.2341849257616511,0.858981910817764,California,13,0.6627794168410466
"Congressional District 15 (116th Congress), California",0.24220322750474407,0.9999181902127576,0.5934065934065933,1.0,0.24267474719961868,0.9377325338448449,California,15,0.6693225486947597
"Congressional District 17 (116th Congress), California",0.2385898080931503,0.9999469161575173,0.792778649921507,1.0,0.2390180790575738,0.9394241467675593,California,17,0.701626266666218
"Congressional District 19 (116th Congress), California",0.23292702330293075,0.9999075557501468,0.4379905808477237,1.0,0.23389923889055686,0.9264802871714319,California,19,0.6385341143271317
"Congressional District 20 (116th Congress), California",0.22629945184390668,0.9998471393467269,0.3139717425431711,1.0,0.22276549843537688,0.912474134936338,California,20,0.6125596611842533
"Congressional District 22 (116th Congress), California",0.23642894396865505,0.9998080113620446,0.25902668759811615,1.0,0.23662270452301434,0.8749112658399916,California,22,0.6011329355486369
"Congressional District 24 (116th Congress), California",0.22607829730664492,0.9998436155188736,0.40816326530612246,1.0,0.22354301243341454,0.8869035931670921,California,24,0.6240886306220246
"Congressional District 26 (116th Congress), California",0.22245105573647225,0.9998540760393436,0.38618524332810045,1.0,0.2219090568619015,0.9257351719554743,California,26,0.626022433986882
"Congressional District 28 (116th Congress), California",0.2187565463278825,0.9998784984156187,0.5934065934065933,1.0,0.21918868642848077,0.7984010230230533,California,28,0.6382718912669381
"Congressional District 29 (116th Congress), California",0.21974836299568565,0.9998192516231459,0.18524332810047095,1.0,0.22030450568123783,0.859878062901821,California,29,0.5808322518837269
"Congressional District 31 (116th Congress), California",0.23115594405035936,0.9998194210667831,0.23861852433281,1.0,0.2282913572757296,0.8895266001097535,California,31,0.5979019744725725
"Congressional District 33 (116th Congress), California",0.2177671869327156,0.9999445454460977,0.8948194662480375,1.0,0.2184541956970543,0.8909664849189687,California,33,0.7036586465404789
"Congressional District 35 (116th Congress), California",0.22989444171072865,0.9998043255880601,0.12244897959183676,1.0,0.22704801582265746,0.9102790657866252,California,35,0.581579138083318
"Congressional District 37 (116th Congress), California",0.2234425652451959,0.9998379159147586,0.49293563579277855,1.0,0.2243954302481421,0.8160673020284251,California,37,0.6261131415382167
"Congressional District 3 (116th Congress), Michigan",0.22955748820048397,0.9998005708370198,0.36734693877551017,1.0,0.22843095075228811,0.8602707587588797,Michigan,03,0.6142344512206969
"Congressional District 5 (116th Congress), Michigan",0.20718985687001212,0.9997738332308701,0.16640502354788073,1.0,0.20726009886065724,0.798788684317842,Michigan,05,0.5632362494712103
"Congressional District 7 (116th Congress), Michigan",0.21705242775464872,0.9997951621361404,0.25588697017268447,1.0,0.2134347114191178,0.8725550906976394,Michigan,07,0.5931207270300385
"Congressional District 9 (116th Congress), Michigan",0.21982976015176117,0.9997969945266241,0.3485086342229199,1.0,0.22002748536744654,0.8494716226897653,Michigan,09,0.6062724161597529
"Congressional District 10 (116th Congress), Michigan",0.22125221384906574,0.999804087167367,0.23861852433281,1.0,0.22087402230400427,0.8667552749626184,Michigan,10,0.591217353769311
"Congressional District 12 (116th Congress), Michigan",0.21810506192019885,0.9998093159281009,0.42229199372056514,1.0,0.21825455535918237,0.8355107815151012,Michigan,12,0.6156619514071914
"Congressional District 14 (116th Congress), Michigan",0.21156441648068186,0.9998006922966182,0.36420722135007855,1.0,0.21068153187590727,0.780528326964612,Michigan,14,0.5944636981613164
