name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,state_name,composite_score
"Congressional District 1 (118th Congress), Alabama",724287,0.9997642569037789,0.23646723646723647,1.0,0.22103886229728528,0.8440064246145778,1,01,Alabama,0.550212796713813
"Congressional District 2 (118th Congress), Alabama",717019,0.9997618593028804,0.21794871794871798,1.0,0.21532165891535793,0.8326486238431869,1,02,Alabama,0.5442801433350238
"Congressional District 3 (118th Congress), Alabama",721038,0.999756564788326,0.19230769230769232,1.0,0.21921709045066234,0.819755689826601,1,03,Alabama,0.538506172895547
"Congressional District 4 (118th Congress), Alabama",721519,0.9997568301888007,0.12962962962962968,1.0,0.22118509976524547,0.8515619024726025,1,04,Alabama,0.5336889103427132
"Congressional District 5 (118th Congress), Alabama",732520,0.9997867109834877,0.3717948717948718,1.0,0.22356176844474285,0.869764977109579,1,05,Alabama,0.5774847213887803
"Congressional District 6 (118th Congress), Alabama",714716,0.9997915796577325,0.41595441595441607,1.0,0.21932243099961674,0.8893065131169214,1,06,Alabama,0.5873958232881145
"Congressional District 7 (118th Congress), Alabama",723154,0.9997497123579908,0.2008547008547009,1.0,0.22014253815574103,0.7583612862340614,1,07,Alabama,0.5298513729337491
"Congressional District (at Large) (118th Congress), Alaska",733971,0.9998119390229604,0.301994301994302,1.0,0.2181581081085268,0.9000469827256536,2,00,Alaska,0.5700018886419072
"Congressional District 1 (118th Congress), Arizona",800544,0.9998304870674344,0.5883190883190883,1.0,0.24676147522622657,0.8803907214579941,4,01,Arizona,0.6192169620117906
"Congressional District 2 (118th Congress), Arizona",811584,0.9997647637137249,0.22079772079772078,1.0,0.24563371170212667,0.8597456377085542,4,02,Arizona,0.5543236389870211
"Congressional District 3 (118th Congress), Arizona",803591,0.9997610556042678,0.13247863247863248,1.0,0.2462710220233007,0.8641816811074812,4,03,Arizona,0.5404487318689469
"Congressional District 4 (118th Congress), Arizona",803744,0.9997954676997148,0.4045584045584045,1.0,0.24774702900923806,0.8712727948166035,4,04,Arizona,0.5872289493473268
"Congressional District 5 (118th Congress), Arizona",812986,0.9998220362365002,0.4301994301994303,1.0,0.2514801121690951,0.9343498355604603,4,05,Arizona,0.6026419023609143
"Congressional District 6 (118th Congress), Arizona",798431,0.9997828199426301,0.4116809116809117,1.0,0.23981116777124495,0.8509227188794074,4,06,Arizona,0.583699603045699
"Congressional District 7 (118th Congress), Arizona",804461,0.9997518445584146,0.16524216524216526,1.0,0.2423771396137162,0.8219573222031621,4,07,Arizona,0.5382214119362431
"Congressional District 8 (118th Congress), Arizona",796518,0.9997875341747906,0.31623931623931634,1.0,0.2448656551701916,0.8720157774548474,4,08,Arizona,0.5721513805065244
"Congressional District 9 (118th Congress), Arizona",836316,0.9997739342747599,0.1794871794871795,1.0,0.251839509336116,0.8822372518383357,4,09,Arizona,0.5522229791560651
"Congressional District 1 (118th Congress), Arkansas",753522,0.9997488591779338,0.10968660968660968,1.0,0.22659340747862128,0.8107360991226249,5,01,Arkansas,0.5244608292442982
"Congressional District 2 (118th Congress), Arkansas",755024,0.9997682379108992,0.3233618233618234,1.0,0.2307744977966785,0.838275624706358,5,02,Arkansas,0.5653633639626265
"Congressional District 3 (118th Congress), Arkansas",770992,0.9997845862802526,0.3076923076923077,1.0,0.236901290018952,0.8782546463730428,5,03,Arkansas,0.5704388050607592
"Congressional District 4 (118th Congress), Arkansas",753113,0.9997420532301676,0.12393162393162391,1.0,0.2282989948962504,0.8038908252570393,5,04,Arkansas,0.5259772495525136
"Congressional District 1 (118th Congress), California",762487,0.9997800594778057,0.18945868945868946,1.0,0.23123830603722176,0.8453121073391388,6,01,California,0.5442981937188093
"Congressional District 2 (118th Congress), California",758158,0.9998535814070455,0.46153846153846156,1.0,0.23193913051291243,0.8776755569638233,6,02,California,0.5951677884037072
"Congressional District 3 (118th Congress), California",770955,0.9998408811696409,0.4387464387464387,1.0,0.2358934288255737,0.8984626815117511,6,03,California,0.5954905717089006
"Congressional District 4 (118th Congress), California",763128,0.9998348309384806,0.3660968660968662,1.0,0.2325008434989545,0.8863837505326531,6,04,California,0.5808027151778257
"Congressional District 5 (118th Congress), California",764588,0.9998086792453785,0.2962962962962963,1.0,0.23381016455742873,0.8816636255367504,6,05,California,0.5685964609393089
"Congressional District 6 (118th Congress), California",755796,0.9998046742472548,0.28490028490028496,1.0,0.23311150885774595,0.8727696863083596,6,06,California,0.5650976923856076
"Congressional District 7 (118th Congress), California",757893,0.999820707734689,0.3447293447293448,1.0,0.23297518579439322,0.8817018672901894,6,07,California,0.5765378509247695
"Congressional District 8 (118th Congress), California",751024,0.9998247952018868,0.2834757834757835,1.0,0.2307723290206706,0.9005932934890684,6,08,California,0.5691110335312349
"Congressional District 9 (118th Congress), California",767049,0.9998137848307815,0.16524216524216526,1.0,0.23476411617575388,0.9025381598068245,6,09,California,0.5503930376759208
"Congressional District 10 (118th Congress), California",756742,0.9999211625640778,0.643874643874644,1.0,0.23285404416309566,0.9314926302678015,6,10,California,0.6346904134782698
"Congressional District 11 (118th Congress), California",723466,0.9999941551918059,0.7720797720797722,1.0,0.22306356961321738,0.8587568152267736,6,11,California,0.6423157186852615
"Congressional District 12 (118th Congress), California",746726,0.999905659877593,0.6210826210826211,1.0,0.23005260521119694,0.8621548681752128,6,12,California,0.6188659590577706
"Congressional District 13 (118th Congress), California",779049,0.9997708229415114,0.052706552706552695,1.0,0.23689292474006446,0.8846847240584335,6,13,California,0.5290091707410937
"Congressional District 14 (118th Congress), California",743389,0.9999177738348529,0.5284900284900286,1.0,0.22906860055390538,0.9366334145515335,6,14,California,0.6156849695717201
"Congressional District 15 (118th Congress), California",742872,0.999939254779488,0.5441595441595443,1.0,0.22896202070437507,0.9392174644624849,6,15,California,0.618713047350982
"Congressional District 16 (118th Congress), California",745878,0.9999999999999999,0.7507122507122508,1.0,0.22984657149044793,0.930203336866143,6,16,California,0.6517936931781403
"Congressional District 17 (118th Congress), California",745398,0.9999999999999999,0.7592592592592593,1.0,0.22956091270769516,0.9433147951880948,6,17,California,0.6553558278591748
"Congressional District 18 (118th Congress), California",756539,0.9998520429839549,0.19800569800569798,1.0,0.23087395166789718,0.930875299105143,6,18,California,0.5599344986271154
"Congressional District 19 (118th Congress), California",747226,0.9998977038611031,0.52991452991453,1.0,0.22903420996292323,0.9268325994558745,6,19,California,0.6142798405324051
"Congressional District 20 (118th Congress), California",770763,0.9998051480695712,0.2678062678062678,1.0,0.2346547478999277,0.8974629328147024,6,20,California,0.5666215160984115
