name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district
"Congressional District 1 (116th Congress), Alabama",722794,82022,25.5,-888888888,712679,31670,01,01
"Congressional District 2 (116th Congress), Alabama",689681,80818,23.4,-888888888,667936,32126,01,02
"Congressional District 3 (116th Congress), Alabama",731482,80198,23.9,-888888888,718735,34286,01,03
"Congressional District 4 (116th Congress), Alabama",702255,79041,18.5,-888888888,696429,27928,01,04
"Congressional District 5 (116th Congress), Alabama",751690,95094,34.2,-888888888,740016,28267,01,05
"Congressional District 6 (116th Congress), Alabama",731505,100290,37.9,-888888888,724184,21329,01,06
"Congressional District 7 (116th Congress), Alabama",668268,68806,21.7,-888888888,660031,46071,01,07
"Congressional District (at Large) (116th Congress), Alaska",735951,113259,30.6,-888888888,709438,19531,02,00
"Congressional District 1 (116th Congress), Arizona",758861,88400,26.8,-888888888,741384,23328,04,01
"Congressional District 2 (116th Congress), Arizona",729613,88081,36.3,-888888888,706975,35280,04,02
"Congressional District 3 (116th Congress), Arizona",780580,77205,18.1,-888888888,763446,28801,04,03
"Congressional District 4 (116th Congress), Arizona",796390,78046,21.4,-888888888,775589,29807,04,04
"Congressional District 5 (116th Congress), Arizona",860467,114780,39.1,-888888888,858741,18190,04,05
"Congressional District 6 (116th Congress), Arizona",769040,111092,45.5,-888888888,767047,24005,04,06
"Congressional District 7 (116th Congress), Arizona",792891,77534,16.6,-888888888,786294,30417,04,07
"Congressional District 8 (116th Congress), Arizona",821009,98999,31.8,-888888888,809123,21137,04,08
"Congressional District 9 (116th Congress), Arizona",770352,103132,41.9,-888888888,767913,28392,04,09
"Congressional District 1 (116th Congress), Arkansas",717868,73376,17.4,-888888888,695710,36119,05,01
"Congressional District 2 (116th Congress), Arkansas",767099,84985,31.7,-888888888,757381,34348,05,02
"Congressional District 3 (116th Congress), Arkansas",831156,89762,29.4,-888888888,824817,30388,05,03
"Congressional District 4 (116th Congress), Arkansas",690186,70801,17.5,-888888888,677862,32802,05,04
"Congressional District 1 (116th Congress), California",708366,93908,25.7,-888888888,691806,31351,06,01
"Congressional District 2 (116th Congress), California",722327,134972,42.6,-888888888,712527,23427,06,02
"Congressional District 3 (116th Congress), California",757414,109063,26.9,-888888888,737434,21933,06,03
"Congressional District 4 (116th Congress), California",760658,120860,36.4,-888888888,750333,21796,06,04
"Congressional District 5 (116th Congress), California",728345,125589,34.0,-888888888,722615,19844,06,05
"Congressional District 6 (116th Congress), California",781387,102238,30.6,-888888888,776352,32806,06,06
"Congressional District 7 (116th Congress), California",778765,120605,34.3,-888888888,770451,19953,06,07
"Congressional District 8 (116th Congress), California",749184,87384,17.3,-888888888,728029,25181,06,08
"Congressional District 9 (116th Congress), California",796370,112858,21.9,-888888888,787339,21446,06,09
"Congressional District 10 (116th Congress), California",764549,104859,18.6,-888888888,758809,20688,06,10
"Congressional District 11 (116th Congress), California",767298,152581,46.1,-888888888,763267,17908,06,11
"Congressional District 12 (116th Congress), California",757251,210077,61.3,-888888888,753465,27599,06,12
"Congressional District 13 (116th Congress), California",772203,162114,51.9,-888888888,768383,27209,06,13
"Congressional District 14 (116th Congress), California",747495,179397,49.9,-888888888,743984,12587,06,14
